Country,2020
Afghanistan,15.53
Albania,
Algeria,6.32
Andorra,9.05
Angola,2.91
Antigua and Barbuda,5.61
Argentina,9.98
Armenia,12.24
Australia,10.65
Austria,11.47
Azerbaijan,4.61
Bahamas,7.59
Bahrain,4.16
Bangladesh,2.63
Barbados,7.20
Belarus,6.41
Belgium,11.06
Belize,6.92
Benin,2.59
Bhutan,4.37
Bolivia,7.86
Bosnia and Herzegovina,9.84
Botswana,6.19
Brazil,10.31
Brunei Darussalam,2.39
Bulgaria,8.52
Burkina Faso,6.72
Burundi,6.50
Cabo Verde,6.02
Cambodia,7.51
Cameroon,3.77
Canada,12.94
Central African Republic,9.40
Chad,5.41
Chile,9.75
China,5.59
Colombia,8.99
Comoros,5.35
Congo,4.47
Cook Islands,3.19
Costa Rica,7.86
Cote_dIvoire,3.33
Croatia,7.77
Cuba,12.49
Cyprus,8.09
Czechia,9.24
Democratic Republic of the Congo,4.05
Denmark,10.53
Djibouti,2.01
Dominica,5.65
Dominican Republic,4.94
Ecuador,8.48
Egypt,4.36
El Salvador,9.85
Equatorial Guinea,3.77
Eritrea,4.09
Estonia,7.75
Eswatini,6.51
Ethiopia,3.48
Fiji,3.75
Finland,9.61
France,12.21
Gabon,3.43
Gambia,2.61
Georgia,7.60
Germany,12.82
Ghana,3.99
Greece,9.51
Grenada,5.82
Guatemala,6.47
Guinea,4.04
Guinea-Bissau,8.41
Guyana,5.51
Haiti,3.31
Honduras,9.04
Hungary,7.25
Iceland,9.56
India,2.96
Indonesia,3.41
Iran,5.34
Iraq,5.08
Ireland,7.10
Israel,8.32
Italy,9.63
Jamaica,6.61
Japan,10.90
Jordan,7.47
Kazakhstan,3.79
Kenya,4.29
Kiribati,11.64
Kuwait,6.31
Kyrgyzstan,5.26
Laos,2.69
Latvia,7.45
Lebanon,7.95
Lesotho,11.78
Liberia,9.50
Libya,
Lithuania,7.54
Luxembourg,5.77
Madagascar,3.88
Malawi,5.43
Malaysia,4.12
Maldives,11.35
Mali,4.31
Malta,10.84
Marshall Islands,13.01
Mauritania,3.36
Mauritius,6.66
Mexico,6.24
Micronesia (Federated States of),11.56
Monaco,1.67
Mongolia,4.94
Montenegro,11.42
Morocco,5.99
Mozambique,7.62
Myanmar,3.69
Namibia,8.90
Nauru,11.97
Nepal,5.17
Netherlands,11.14
New Zealand,10.03
Nicaragua,8.63
Niger,6.20
Nigeria,3.38
Niue,7.84
Norway,11.42
Oman,5.33
Pakistan,2.79
Palau,18.39
Panama,9.66
Papua New Guinea,2.53
Paraguay,7.58
Peru,6.30
Philippines,5.11
Poland,6.49
Portugal,10.55
Qatar,4.18
Republic of Korea,8.36
Moldova,6.78
North Macedonia,7.89
Romania,6.27
Russia,7.60
Rwanda,7.32
Saint Kitts and Nevis,5.37
Saint Lucia,6.74
Saint Vincent and the Grenadines,4.82
Samoa,5.33
San Marino,8.69
Sao Tome and Principe,4.91
Saudi Arabia,
Senegal,5.15
Serbia,8.73
Seychelles,6.39
Sierra Leone,8.76
Singapore,6.05
Slovakia,7.23
Slovenia,9.45
Solomon Islands,4.43
South Africa,8.58
South Sudan,5.25
Spain,10.71
Sri Lanka,4.07
Sudan,3.02
Suriname,6.77
Sweden,11.38
Switzerland,11.80
Syria,
Tajikistan,8.18
Thailand,4.36
Timor-Leste,9.85
Togo,5.96
Tonga,5.32
Trinidad and Tobago,7.31
Tunisia,6.34
Turkey,4.62
Turkmenistan,5.68
Tuvalu,21.54
Uganda,3.96
Ukraine,7.62
United Arab Emirates,5.49
United Kingdom,11.98
United Republic of Tanzania,3.75
United States of America,18.82
Uruguay,9.15
Uzbekistan,6.75
Vanuatu,3.97
Venezuela,3.82
Vietnam,4.68
Yemen,
Zambia,5.62
Zimbabwe,3.43
